,,,,
"Census Counts, 2010",,,,
,,,,
Borough,Sex,Race/Ethnicity,Age Group,Population
Brooklyn,Male,"White, non-Hispanic",60-64 yr,"23,890"
Brooklyn,Male,"White, non-Hispanic",65-69 yr,"13,915"
Brooklyn,Male,"White, non-Hispanic",70-74 yr,"12,786"
Brooklyn,Male,"White, non-Hispanic",75-79 yr,"10,003"
Brooklyn,Male,"White, non-Hispanic",80-84 yr,"9,044"
Brooklyn,Male,"White, non-Hispanic",85+ yr,"8,144"
Brooklyn,Male,"Black, non-Hispanic",Less than 1,"4,945"
Brooklyn,Male,"Black, non-Hispanic",1-4 yr,"19,970"
Brooklyn,Male,"Black, non-Hispanic",5-9 yr,"25,325"
Brooklyn,Male,"Black, non-Hispanic",10-11 yr,"10,707"
Brooklyn,Male,"Black, non-Hispanic",12-14 yr,"16,815"
Brooklyn,Male,"Black, non-Hispanic",15-17 yr,"18,636"
Brooklyn,Male,"Black, non-Hispanic",18-19 yr,"12,658"
Brooklyn,Male,"Black, non-Hispanic",20-24 yr,"29,474"
Brooklyn,Male,"Black, non-Hispanic",25-29 yr,"26,205"
Brooklyn,Male,"Black, non-Hispanic",30-34 yr,"23,759"
Brooklyn,Male,"Black, non-Hispanic",35-39 yr,"21,975"
Brooklyn,Male,"Black, non-Hispanic",40-44 yr,"23,379"
Brooklyn,Male,"Black, non-Hispanic",45-49 yr,"24,922"
Brooklyn,Male,"Black, non-Hispanic",50-54 yr,"23,864"
Brooklyn,Male,"Black, non-Hispanic",55-59 yr,"19,675"
Brooklyn,Male,"Black, non-Hispanic",60-64 yr,"16,177"
Brooklyn,Male,"Black, non-Hispanic",65-69 yr,"11,928"
Brooklyn,Male,"Black, non-Hispanic",70-74 yr,"8,463"
Brooklyn,Male,"Black, non-Hispanic",75-79 yr,"5,499"
Brooklyn,Male,"Black, non-Hispanic",80-84 yr,"3,262"
Brooklyn,Male,"Black, non-Hispanic",85+ yr,"2,403"
Brooklyn,Male,Hispanic,Less than 1,"4,426"
Brooklyn,Male,Hispanic,1-4 yr,"16,225"
Brooklyn,Male,Hispanic,5-9 yr,"18,574"
Brooklyn,Male,Hispanic,10-11 yr,"7,290"
